2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,696 - INFO - Detected native PDF: input_pdfs\Attendance Tracker Technical Documentation.pdf
2025-05-08 11:32:52,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,702 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,703 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 11:32:52,790 - WARNING - CropBox missing from /Page, defaulting to MediaBox
